नमस्ते	నమస్కారం
सौ फ़ीसदी। एकदम असली है।	వంద శాతం. చాలా నిజం.
पर द सेवेन आपकी हिफ़ाज़त करेगा।	కానీ సెవెన్ మిమ్మల్ని రక్షిస్తుంది.
हाँ। ठीक कहा। मेव की बात हमेशा सुनिए।	అవును.
यह हमेशा सच कहती है।	ఎప్పుడూ నిజమే చెబుతుంది.
और हम हर रोज़ शुक्रगुज़ार हैं।	ఇంకా ప్రతిరోజు మేము కృతజ్ఞులం.
अब दूसरे मुद्दे के बारे में बात करते हैं,	సంబంధం లేని అంశం, కాంపౌండ్ వీ.
खबर के सामने आने से पहले,	వార్తల్లోకి రాకముందు
नहीं। बिल्कुल नहीं।	లేదు. ఖచ్చితంగా లేదు.
मैडलिन स्टिलवेल ने हम सभी से झूठ कहा।	మాడలిన్ స్టిల్‌వెల్ మాతో అబద్ధమాడింది.
पता चला कि वह एक शैतान थी।	ఆమె ఒక దుష్టురాలిగా తేలింది.
औरों की तरह, हमें भी ठेस पहुँची है,	అందరిలానే బాధగా, నిరాశగా,
"""हैशटैगहीरोज़सोव्हाइट"" के बारे में"	"""#హీరోలుచాలాతెల్లగాఉంటారు"""
आँकड़े देखकर हैरानी होती है,	గణాంకాలు చాలా ఆశ్చర్యపరుస్తున్నాయి,
बानवे प्रतिशत हीरो गोरे हैं।	92 శాతం మంది హీరోలు కాకెసియన్లు.
सिर्फ़ छह प्रतिशत हैं	అఫ్రికన్-అమెరికన్లు, ఆరు శాతం.
एक-एक प्रतिशत लैटिन और एशियाई।	లాటిన్ ఇంకా ఆసియన్లు, చేరి ఒక శాతం.
वॉट को भिन्नता पसंद क्यों नहीं?	వాట్ వైవిధ్యాన్ని ఎందుకు కోరుకోలేదు?
वाह, ये तो काफ़ी ज़बरदस्त सवाल हैं,	అద్భుతం, ఇవి కష్టతరమైన ప్రశ్నలు,
पर अपने तथ्यों पर नज़र डालिए।	కానీ వాస్తవాలను చూద్దాం.
ए-ट्रेन है जो अश्वेत है। ब्लैक नोआर है।	ఏ ట్రెయిన్ ఉన్నాడు, అతను నల్లజాతి వాడు.
वह...	అతను...
उसकी कोई जाति नहीं है,	అతను ఏ జాతికి చెందినవాడు కాదు,
और एक समलैंगिक हीरो है।	ఇంకా మాలో ఒక గే హీరో ఉన్నారు.
अच्छा? द सेवेन में समलैंगिक कौन है?	నిజంగానా? సెవెన్ గే హీరో ఎవరు?
क्वीन मेव।	క్వీన్ మేవ్.
तुम्हारे लिए सनसनी खबर है, मरिया!	నీకు పెద్ద వార్త, మారియా!
मेव एक दमदार, निडर समलैंगिक है जिसकी	మేవ్ ఎలీనా అనే ప్రియురాలు ఉన్న
स्पेन की गर्लफ़्रेंड।	హిస్పానిక్ ప్రియురాలు.
और, मुझे इस पर बेहद नाज़ है।	నేను, ఆమెను చూసి గర్వపడేవారిలో ఒకడిని.
एलीना कहाँ है?	ఎలీనా ఎక్కడుంది?
तुमने उसके साथ क्या किया?	ఆమెను ఏం చేశావు?
वह ठीक है। मैंने उसके साथ क्या किया?	ఆమె బాగానే ఉంది. ఆమెకు ఏం చేశానా?
और तुम! तुम इतनी देर से छुपी हुई थी।	ఇంకా నువ్వు! ఇన్ని రోజులు
खुलकर सामने आकर अच्छा नहीं लग रहा?	వెలుగు చూడటం బాగనిపించడం లేదా?
रुको।	ఆగు.
मैं और एलीना सिर्फ़ दोस्त हैं।	నేనూ ఎలీనా కేవలం స్నేహితులం మాత్రమే.
-अच्छा, सिर्फ़ दोस्त?	-ఓహ్, కేవలం స్నేహితులా?
मैंने तुम दोनों को	మీరు ఫోన్లో మట్లాడడం విన్నాను.
और मुझे तो बात दोस्ती से ज़्यादा लगी।	అది కొంచెం స్నేహితులకంటే
इसलिए, मैंने थोड़ी-बहुत छान-बीन की	అందుకే, నేను కాస్త లోతుకు వెళ్ళాను,
-और देखो मेरे हाथ क्या लगा।	-నాకు కలిగిన ఆశ్చర్యాన్ని ఊహించు.
हमारा एक रिश्ता था।	మేము సంబంధంలో ఉండేవాళ్ళం.
कभी था।	ఒకసారి.
"""कभी था। एक रिश्ता।"" एक रिश्ता?"	"""ఒకసారి సంబంధం."" ఒక సంబంధమా?"
यह बड़ा ही अस्पष्ट शब्द है।	అది అస్పష్టమైన పదం.
क्या, देर तक पार्क में टहलना?	ఏంటి, పార్కులకు సుదూర నడకా?
दुःख हल्का करने के लिए कोई कंधा?	ఓదార్పుకు భుజం కావాలా?
एक-दूसरे को बेतहाशा खुशी देना?	ఒకరితో ఒకరు గడుపుతున్నారా?
जब मैं द सेवेन में शामिल हुई,	నేను సెవెన్‌లో చేరినప్పుడు
जब मैं तुमसे मिली।	నిన్ను కలిశాక.
मुझसे झूठ बोलना बंद करो।	నాతో అబద్ధాలాడడం ఆపు.
मुझसे ये झूठ और बर्दाश्त नहीं होते।	నేను ఈ అబద్దాలతో విసిగెత్తిపోయాను.
हम साथ हैं।	మనం కలిసి ఉన్నాం.
और तुम उससे प्यार करती हो?	నీకు ఆమె అంటే ప్రేమా?
अच्छा।	సరే.
तो फिर, तुम दोनों को शुभकामनाएँ।	మీ ఇద్దరికీ శుభాశీస్సులు.
यह मानना इतना मुश्किल है क्या	మీరిద్దరి సంతోషం,
खुश देखना चाहता हूँ?	కష్టంగా ఉందా?
सच में, मेव,	నిజంగా, మేవ్, నీకోసం,
"स्टॉर्मफ़्रंट: ""सुपर आतंकवादी आ रहे हैं"""	స్టార్మ్‌ఫ్రంట్:
सुपर आतंकवादी का यूएस भूमि पर हमला	మహా ఉగ్రవాదులు అమెరికా నేలపై దాడి చేశారు -
और क्या आपने वॉट के	"వాట్ ""అమెరికా రక్షణ"" ప్రకటనలు చూశావా?"
उन्हें देखकर आपको जोश,	అవి నీలో వెచ్చని, మెత్తని,
मुझे अपना	నాకు నా
वॉट चाहता है कि आपको तसल्ली और	వాట్ మీరు శాంతంగా,
ताकि आप उनके घटिया खिलौने खरीदें	వారి పిచ్చి బొమ్మలను కొనడం,
और उनके घटिया, शक्तिवर्धक ड्रिंक पिएँ	పిచ్చి సినిమాలకు వెళ్ళడం
-कमीने!	-వెధవలు!
-या सुरक्षा।	-లేదా భద్రత.
एक सुपर आतंकवादी को	ఒక మహా ఉగ్రవాది ఇప్పటికే వచ్చాడు.
और भी आएँगे। और सच कहें तो,	ఇంకా వస్తారు. మనందరికీ తెలుసు,
हो सकता है ये सिरफिरे	ఈ పిచ్చివాళ్ళు మన సరిహద్దులు దాటి,
और इस वक्त आपके बराबर खड़े हों,	మీ పక్కన వచ్చి నిలబడి,
और उस मौके की ताक में हों	మనల్ని చంపే అవకాశం కోసం చూస్తుండవచ్చు.
तो, हम लोग क्या करेंगे?	అందుకే, మనం ఏం చేయాలి?
क्या हम हाथ पर हाथ धरे बैठे रहेंगे	చేతులు కట్టుకు కూర్చుని
कि होमलैंडर आकर हमें बचाएगा,	మారియా మెనోనస్‌లో లేనప్పుడు
या फिर हम माँग करेंगे	లేదా వాట్ ఇంకా మెరుగుగా చేయాలని కోరాలా?
कि हमारी सरकार को कुछ बेहतर करना चाहिए!	మన ప్రభుత్వం మెరుగుగా చేస్తుందనా!
आप क्या कहते हैं?	మీరు ఏం అంటారు?
-नहीं।	-లేదు.
मेरी जान, प्लीज़। तुम ज़िंदा नहीं बचोगी।	బంగారం వద్దు. నువ్వు బ్రతకలేవు.
मुझसे शादी करो, स्टॉर्मफ़्रंट!	నన్ను పెళ్ళి చేసుకో, స్టార్మ్‌ఫ్రంట్!
मैं तुमसे प्यार करती हूँ, स्टॉर्मफ़्रंट!	ఐ లవ్ యూ, స్టార్మ్‌ఫ్రంట్!
आओ घर चलें।	పద ఇంటికి వెళదాం.
हैलो?	హలో?
हैलो।	హలో.
मेरा नाम ह्यूई है।	నేను హ్యూయీని. ఇక్కడ, ఏమన్నా
जिसका नाम लिबर्टी हुआ करता था?	లిబర్టీ అనే పేరుతో?
नहीं।	లేదు.
अच्छा। यह पता तो ठीक है ना?	సరే. మేము సరైన చిరునామాకే వచ్చాం కదా?
प्लीज़ चले जाइए।	వెళ్ళిపోండి.
मैडम, माफ़ कीजिए अगर मेरे दोस्त ने	ఏమండి, నా స్నేహితుడు
पर, हमें चंद सवाल पूछने हैं, बस।	మిమ్మల్ని కొన్ని ప్రశ్నలడగాలంతే.
मुझे अकेला छोड़ दीजिए।	నన్ను ఒంటరిగా వదిలేయండి.
मैंने तुम्हारे पैसे लिए,	నేను నీ డబ్బు తీసుకున్నాను,
और अपना मुँह भी बंद रखा है।	నా నోరుమూసుకున్నా.
आपको लगता है कि हम...	మీరు అనుకుంటున్నారు మేము...
लिबर्टी के बारे में जो पता चल सके,	లిబర్టీ గురించి
फिर तो, तुम लोग बेवकूफ़ हो।	అయితే మీరు ఎవరో మూర్ఖులు.
ऐसा लगता है कि आप उसे जानती हैं।	మీకామె తెలిసినట్టుంది.
या फिर कभी जानती थीं।	లేదా ఆమె తెలుసు.
तुम अपना वक्त बर्बाद कर रहे हो, ठीक है?	మీ సమయం వృథా, సరేనా?
मैडम, ज़रा हमारी बात सुनिए।	ఏమండి, మేము చెప్పేది వినండి.
उसके बाद, यदि आप चाहेंगी	ఆ తరువాత, వెళ్ళిపొమ్మంటే, వెళతాం.
ठीक है।	సరే.
मेरे पिता एक वकील हुआ करते थे।	మా నాన్న లాయర్.
छोटे-मोटे वकील, वह बहुत समझदार थे	చిన్న లాయర్, చాలా తెలివైన, దూకుడుగలవాడు.
मेरे बचपन में, मेरे परिवार में	నా చిన్నతనంలో, ఏదో జరిగింది
जिसके बारे में ज़िक्र नहीं करना चाहता,	నేనది చెప్పను, కానీ అది చాలా దారుణమైనది.
मेरे पिता को कानून पर भरोसा था,	మా నాన్న, చట్టాన్ని నమ్మేవాడు,
और यह कि कोई भी उससे ऊपर नहीं है,	దానికి మించి ఎవరూ కారని,
इसलिए उन्होंने अपना काम किया।	ఆయన పనికి వెళ్ళారు.
उनके पास एक...	ఆయన దగ్గర వాటిలో ఒకటి...
आपको वह काले रंग के टाइपराइटर याद हैं,	మీకు గుర్తుందా ఆ చిన్న నల్ల టైప్‌రైటర్లు,
जिन्हें चलाना पड़ता था, बटन वाले?	చేతితో మీటలు నొక్కేది?
रात को इतने शोर में सोने जाता,	నేను రాత్రి పడుకున్నాక, ఆ శబ్ధం,
मेरे पिता उस पर लगे रहते थे।	మా నాన్న అది కొడుతూ ఉండేవాడు.
अगली सुबह उठता तो,	తరువాత ఉదయానికీ,
रात भर।	రాత్రంతా.
वॉट इस एक अश्वेत आदमी को	వాట్ ఈ నల్లజాతి వాడిని వాళ్ళ మెడలు
उनके काम के आड़े आने नहीं देता।	వంచనిచ్చేందుకు సిద్ధంగా లేరు.
इसलिए उन्होंने	అందుకే వాళ్ళు లాయర్ల బృందాలను
जजों को खरीदा,	నియమించారు, జడ్జీలను కొన్నారు,
फिर एक सुबह, मैं उठा और...	ఒక రోజు ఉదయం, నేను లేచాను...
मैंने टाइपराइटर की आवाज़ नहीं सुनी।	ఆ మీటలశబ్ధం ఇక వినిపించలేదు.
पचपन की उम्र में, उन्हें टाइपराइटर पर	ఆయనని ఆ టైప్‌రైటర్ మీద పడిపోయి చూశాను,
आपने जो खोया, उसके लिए मुझे अफ़सोस है।	నాకు చాలా బాధగా ఉంది.
मैं आपकी दया पाने के लिए यहाँ नहीं आया।	నాకు మీ సానుభూతి అవసరం లేదు.
पर मैं आपको यह बताने आया हूँ	కానీ నేను ఆయన పోరాటం నేను కొనసాగిస్తాను,
और वॉट ने उनके साथ जो किया,	వాట్ తను చేసినదానికి
और, मैडम, जहाँ तक मुझे लगता है,	ఇంకా మేడమ్, వాళ్ళు మీకేం చేశారో కూడా
मतलब, 48 साल हो चुके हैं।	అంటే, అది గడిచి 48 ఏళ్ళయింది.
अब गड़े मुर्दे उखाड़ने का क्या फ़ायदा?	ఇప్పుడు ఏం బావుకుంటాము?
सच कहूँ तो, हमें नहीं पता,	నిజానికి, మాకు తెలియదు,
पर हमें फिर भी सुनना तो होगा।	అయినా మేము వినాలి.
मैंने अपनी बात	జనానికి వినిపించే ప్రయత్నం చేశా.
भगवान ही जानता है	దేవుడికే తెలియాలి,
पर एक अश्वेत लड़की का	కానీ ఒక చిన్న నల్ల జాతి అమ్మాయి
-इन इलाकों में?	-ఈ చోటా?
गर्मियों की बरसात का ही एक दिन था,	అది ఆ వేసవి వర్షాలప్పుడు
और हवा में आने वाली महक से पता चल रहा था।	మనకు అది వస్తుందని గాలిలో
मैं 11 साल की थी।	నాకప్పుడు 11 ఏళ్ళు.
मेरे माँ-बाप की फ़ोर्ड कार की	మా ఫోర్డ్ కారు వెనుక సీటులో పడుకున్నాను.
मेरा भा, मायरन गाड़ी चला रहा था।	మా అన్నయ్య మైరన్, నడుపుతున్నాడు.
क्या परेशानी है, मैडम?	సమస్యేంటి, మేడమ్?
-बाहर निकलो।	-బయటకు రా.
तुम्हारी गाड़ी	నీ కారుతో ఈ రోజు దోపిడిలో పాల్గొన్నారు.
नहीं, ऐसा कुछ नहीं था। वह मेरे पास ही थी।	లేదు. అది నాది.
मान लो।	ఒప్పుకో.
आप मेरे साथ ऐसा क्यों कर रही हैं, देवीजी?	ఎందుకిలా చేస్తున్నావు?
मैं एक सुपरहीरो हूँ,	నేను హీరోను,
जो तुम्हारे जैसे अश्वेत को खत्म कर रही है।	నీలాంటి నల్లజాతి వారిని చంపేందుకు.
मैं पुलिस के पास जाना चाहती थी।	పోలీసుల దగ్గరకు వెళ్ళాలనుకున్నాను.
पर मेरे माँ-बाप को लगा	కానీ మా కుటుంబసభ్యులు,
कि इससे कोई फ़ायदा नहीं होगा।	అది అర్థరహితం అనుకున్నారు.
तो, जब वॉट से वह आदमी आया,	అయితే వాట్ నుండి ఆ మనిషి వచ్చినప్పుడు,
और उसने हमें पैसे दिए,	అతను మాకు డబ్బు ఇచ్చాడు,
दो हज़ार डॉलर।	రెండు వేల డాలర్లు.
वही मेरे भाई की जान की कीमत थी।	అదే మా అన్నయ్య ప్రాణం ఖరీదు.
सिर्फ़ 2,000 डॉलर।	కేవలం రెండువేల డాలర్లు.
पर तुम लोगों को वादा करना होगा	కానీ మీరందరూ నాకు మాట ఇవ్వాలి
कि मैंने यहाँ बैठकर तुम्हें यह सब बताया	నేను మీతో కూర్చుని మాట్లాడానని,
क्योंकि अगर उस औरत को पता चल गया	ఎందుకంటే ఆ మహిళ నేను నోరువిప్పానని
तो वह मुझे मार डालेगी।	నన్ను చంపేస్తుంది.
मिस हंटर...	మిస్ హంటర్...
वह औरत, लिबर्टी,	ఆ మహిళ, లిబర్టీ,
साल 1979 के बाद किसी ने उसे नहीं देखा।	ఆమెను 1979 అప్పటినుండీ ఎవరూ చూడలేదు.
शायद अब तक तो मर चुकी होगी।	అంటే, ఆమె ఇప్పటికి చనిపోయే ఉంటుంది.
अरे, नहीं। मुझे...	ఓహ్, లేదు, లేదు, నేను...
यह देखो।	ఇదుగోండి.
यही है। यहाँ पर।	అది ఆమె. అదిగో అక్కడ.
यह लिबर्टी है।	ఆమె లిబర్టీనే.
वैलरी बहुत छोटी थीं,	వలెరీ చిన్నమ్మాయి,
और उन्होंने कहा कि बारिश हो रही थी,	వర్షం పడుతుందన్నది,
उन्होंने काफ़ी यकीन से कहा।	చాలా ఖచ్చితంగా ఉంది.
हाँ, पर अगर लिबर्टी और स्टॉर्मफ़्रंट	సరే, లిబర్టీ, స్టార్మ్‌ఫ్రంట్ ఒకరే అయితే,
तो फिर क्या स्टॉर्मफ़्रंट	అప్పుడు స్టార్మ్‌ఫ్రంట్‌కి
-सत्तर साल की है? उससे ज़्यादा की?	-70 ఏళ్ళా? ఎక్కువా?
पर क्या पता कंपाउंड वी क्या कर सकता है?	ఎవరికి తెలుసు కాంపౌండ్ వీ ఏం చేయగలదో?
मतलब, शायद एक आम इंसान की तरह	ఆమెకు సామాన్యులలా వయసు పెరగదేమో, సరేనా?
वही स्टॉर्मफ़्रंट जो अमरीका की ज़बरदस्त	అమెరికాకు ఇష్టమైన దూకుడుగల
शायद उसी ने रेनर का सिर उड़ाया होगा	దీనికి చేరువైనందుకే
-हे भगवान।	-అయ్యో, దేవుడా.
मुझे तुम्हारे पिता के बारे में	నాకది మీ నాన్న సంగతి తెలియదు.
लगता है वह एक सच्चे हीरो थे।	మీ నాన్న నిజమైన హీరోలా ఉన్నారు.
मुझे भी यही लगा था, पर...	నేనూ అలానే అనుకున్నాను, కానీ...
ना। उन्हें बस एक सनक थी।	కాదు. కేవలం జబ్బుపడ్డ మనిషి అంతే.
उनके बाद मुझमें आ गई,	ఆయనది నాకు అందించారు,
तो मेरे बाद, आगे शायद मेरी...	నేనది అందిస్తానేమో నా...
उसमें कमीनों के लिए	ఆమెకు చెడ్డవారిపై
शहर को बचाने की कोशिश करता है	నగరాన్ని రక్షించే ప్రయత్నం
अमरीका को बचाना?	అమెరికాను రక్షిస్తాడా?
स्टॉर्मफ़्रंट के बारे में पता चला?	మీరు స్టార్మ్‌ఫ్రంట్ గురించి విన్నారా?
होमलैंडर पर	హోంలాండర్‌ను చూసి
स्टॉर्मफ़्रंट के प्रचार की	స్టార్మ్‌ఫ్రంట్ కీర్తిని
स्टॉर्मफ़्रंट - हर कोई - होमलैंडल	స్టార్మ్‌ఫ్రంట్-అందరూ-హోంలాండర్
द सेवेन की असली लीडर	సెవెన్ అసలైన హీరో
तुम खुद को समझती क्या हो?	నువ్వు ఎవరని అనుకుంటున్నావు?
तुम्हें क्या लगता है	నేనది చూడలేననుకుంటున్నావా?
मुझे नीचा दिखाने की कोशिश कर रही हो,	నన్ను బలహీనపరచాలని,
-रुको ज़रा।	-నిమిషం ఆగు.
यह नहीं होने वाला।	అది పనిచేయదు.
द सेवेन की पहचान मैं हूँ! तुम नहीं!	సెవెన్‌లో నేను ముఖ్యుడిని! నువ్వు కాదు!
मैं! जो भी निर्णायक जनसांख्यिकी होती है,	నేను! జనన గణాంకాల పరంగా
अठारह से 34, 18 से 49,	18 నుంచి 34, 18 నుంచి 49,
पच्चीस से 54, सब मुझे चाहते हैं!	25 నుంచి 54,
बधाई हो।	సరే, శుభాభినందనలు.
मतलब, यह निरंतर चाहत कि हर किसी का	అంటే, నిరంతరం అందరూ ప్రేమించాలన్న
पर... वाह।	కానీ... అవును.
अच्छा।	సరే.
अच्छा। शांत हो जाओ।	సరే. శాంతించు.
पता चल रहा है कि मैंने तुम्हें	నిన్ను కొంచెం దూరం పెట్టాను, క్షమించు.
देखो, मैं... मैं बस मदद करना चाहती हूँ।	చూడు, నేను...
अच्छा? कैसे?	నిజంగానా? ఎలా?
जो मेरा है, उसे छीनकर?	నాది తీసుకొనా?
एक बात इसी क्षण तुम्हें बता दूँ।	నేను వెంటనే నీకొకటి చెప్పాలి.
मैंने इस टीम को शुरू से तैयार किया है	ఈ జట్టును పునాదుల నుండి
और कोई भी इसे मुझसे छीन नहीं सकता।	నేను తయారు చేశాను,
"उस ""अमरीका को बचाना"" बकवास पर"	నువ్వు 273 మిలియన్ల డాలర్లు
और मैं पाँच आदमियों के साथ	నువ్వు నీ సమయాన్ని
लैपटॉप पर मीम तैयार करते हुए	ఐదుగురితో ల్యాప్‌టాప్‌లలో మీమ్‌లు
मुझे उन्हें	వారికి అర్బీ గిఫ్ట్ కార్డులు చెల్లిస్తాను.
तुम अब इस पूरे देश का दिल नहीं जीत सकते,	నువ్వు ఇక దేశం మొత్తాన్ని గెెలుచుకోలేవు,
तो, तुम कोशिश भी क्यों कर रहे हो?	అందుకే ఎందుకు వృథా ప్రయాస?
तुम्हें 50 मिलियन	మనల్ని ప్రేమించే
पाँच मिलियन नाराज़ लोगों की ज़रूरत है।	కోపోద్రిక్తులై ఉన్న
जज़्बात बिकते हैं, गुस्सा बिकता है।	భావోద్వేగాలు నమ్ముతారు,
तुम्हारे प्रशंसक हैं।	నీకు అభిమానులు ఉన్నారు.
मेरे पास सिपाही हैं।	నాకు సైనికులున్నారు.
देखो...	చూడు...
मुझे पता है तुम्हें शायद	నాకు నువ్వు నమ్మవని తెలుసు...
मुझे लगता है	నువ్వు మాలో ఉత్తముడివి అనుకుంటాను.
मुझे लगता है तुम वह सब कुछ हो	మనం ఉండాల్సిన
तुम्हें बस अपने दर्शकों से जुड़ने में	నీకు ప్రేక్షకులతో సంబంధం నెలకొల్పడానికి
समय के साथ बदलो।	తెలుసా, సమయానుసారంగా మారాలి.
भगवान साक्षी है, मैंने खुद को बदला।	నేను మారాను.
मुझे अपने दर्शकों से जुड़ने में	నాకు నా ప్రేక్షకులతో
शुक्रिया।	ధన్యవాదాలు.
ठीक है। इतना याद रखना	సరే. నేనిక్కడ ఉన్నానని గుర్తుంచుకో.
दरवाज़ा हमेशा खुला है। सब कुछ के लिए।	తలుపులు ఎప్పుడూ తెరిచే ఉంటాయి.
तुमने देर कर दी। बच्चा कहाँ है?	నువ్వు ఆలస్యం చేశావు.
हमें गाड़ी में बैठना होगा,	మనం ట్రక్‌ ఎక్కాలి,
मैं नहीं जाऊँगी।	నేను రావడం లేదు.
तुम यह क्या कह रही हो?	ఏం అంటున్నావు?
तुम ज़रूर जाओगी।	ఖచ్చితంగా, వస్తున్నావు.
तुम रायन को	నీకు మనతో రాయన్ రాకూడదనుంది.
यकीनन चाहता हूँ। मैंने कहा था	రావాలనే ఉంది.
और मैं तुम पर भरोसा करना चाहती थी।	నాకు నిన్ను నమ్మాలనే ఉంది.
मेरा यकीन मानो।	నన్ను నమ్ము.
अब, चलो, हमें जल्दी से चलना होगा।	ఇప్పుడిక మనం వెళ్ళాలి.
सुनो, अगर हम तीनों चले गए,	విను, మనం ముగ్గురం వదిలి వెళితే,
तो तुम किसी ना किसी तरीके से,	వాడిని వదిలించుకునే మార్గం కనుగొంటావు.
मुझे पता है।	నాకు అది తెలుసు.
एकदम ज़ाहिर रूप से नहीं,	అది స్పష్టమైన మార్గంలో వెంటనే కాకపోవచ్చు,
नहीं, बेक्का, नहीं।	లేదు, బెక్కా.
बिली, मैं तुम्हें जानती हूँ।	బిల్లీ నాకు నువ్వు తెలుసు.
मैं तुम्हें अच्छी तरह जानती हूँ	అందరికంటే ఎక్కువగా నువ్వు తెలుసు,
अभी भी दिख रहा है।	అది ఇప్పుడూ చూస్తున్నాను.
वह वॉट की करोड़ों की सम्पत्ति है।	అతను వాట్ బిలియన్ డాలర్ల ఆస్తి తునక.
वे उसे जाने नहीं देंगे।	వాళ్ళు వాడిని వదలరు.
बेक्का, तुम्हारे और मेरे पास एक मौका है।	నువ్వూ నేను, బెక్కా, నువ్వు నేను,
जान, उन्हें रायन से मतलब है, हमसे नहीं।	బంగారం, వాళ్ళకు రాయన్ ముఖ్యం, మనం కాదు.
हाँ, और फिर क्या?	సరే, అప్పుడేంటి?
और फिर बिना माँ के	వాట్ వాడిని తల్లి లేకుండా పెంచుతాడా?
एक होमलैंडर फिर पैदा हो जाएगा।	మళ్ళీ అంతటా హోంలాండర్ ఉంటాడు.
और दुनिया में दो कमीने होंगे।	అప్పుడు ప్రపంచంలో ఇద్దరు వెధవలుంటారు.
हम गायब हो सकते हैं, ठीक है? नए सिरे से	మనం మాయం కావచ్చు సరేనా?
मेरा एक बेटा है!	నాకు కొడుకు ఉన్నాడు!
वह साला एक सुपरहीरो है!	వాడు ఒక సూప్ వెధవ!
धत् तेरी, मुझे... सुनो, मुझे...	వదిలేయ్, నేను... విను...
-माफ़ कर दो, मेरा...	-క్షమించు...
मेरा वह मतलब नहीं था।	నా ఉద్దేశ్యం అది కాదు.
बेक्का...	బెక్కా...
बेक्का, प्लीज़, मेरे साथ चलो।	బెక్కా, దయచేసి నాతో రా.
तुमने मेरे बारे में गलत सोचा था,	నా గురించి తప్పుగా అనుకున్నావు, తెలుసా?
तुमने मुझे बहुत ऊँचा दर्जा दे दिया,	నన్ను ఉత్తమంగా అనుకున్నావు,
और सच यह है	నిజానికి,
कि मुझे कभी पता नहीं था	నిన్ను రక్షించడం ఎప్పుడూ తెలియదు.
तुम हमेशा ही किसी को	నువ్వు ఎప్పుడూ పార్కింగ్ స్థలంలో
पार्किंग वाली जगह में	ఎవరోకరిని చావకొట్టాలని చూసేవాడివి.
यह सच नहीं है।	అది నిజం కాదు.
बिली।	బిల్లీ.
उसने मेरा बलात्कार किया।	అతను నన్ను మానభంగం చేశాడు.
और जब मुझे पता चला कि मैं पेट से हूँ,	నేను గర్భవతినని తెలిసాక, వాట్‌కి వెళ్ళాను.
मैं तुम्हारे पास नहीं आई।	నేను నీ దగ్గరకు రాలేదు.
मैं इसलिए तुम्हारे पास नहीं आई	నీ దగ్గరకెందుకు రాలేదంటే నువ్వంటే భయం.
क्योंकि मुझे पता था कि तुम उसका पीछा करोगे	నువ్వు అతన్ని వెంబడించి పగ తీర్చుకుంటావు,
और वह किसी के लिए भी अच्छा नहीं होता।	అది ఎవరికీ మంచి చేయదని తెలుసు.
मैं तुमसे प्यार करता हूँ।	ఐ లవ్ యూ.
मैं तुमसे प्यार करती हूँ।	ఐ లవ్ యూ.
पर तुम्हारे अंदर जो नफ़रत है,	కానీ నీలో ద్వేషం,
और तुम जिस जंग की राह पर चल रहे हो...	ఇంకా నీ యుద్ధ మార్గం...
वह मेरे आने से बहुत पहले शुरू हो चुका था।	అది నాకంటే ముందే
मुझसे नहीं होगा।	నేను రాలేను.
नहीं, बेक्स,	బెక్, నువ్వు రాకుండా వెళ్ళను.
तुम्हें जाना होगा, प्लीज़।	దయచేసి నువ్వు వెళ్ళాలి.
साठ सेकेंड में यहाँ का	ఇక్కడున్న ప్రతి గార్డు
तुम्हें जाना होगा।	నువ్వు వెళ్ళాలి.
प्लीज़।	ప్లీజ్.
मुझे माफ़ कर दो।	నన్ను క్షమించు.
मुझे माफ़ कर दो।	నన్ను క్షమించు.
धत् तेरी।	అయ్యో.
सफ़र का एक छोटा सा तोहफ़ा।	ట్రిప్ గుర్తుగా.
जॉन वेन गेसी जब जन्मदिन वाला जोकर बनता था,	జాన్ వేన్ గేసీ తను పుట్టినరోజు జోకర్‌గా
तब बच्चों में यह बाँटा करता था।	అది పిల్లలకు ఇచ్చేవాడు.
जो भी हो, मुझे अभी भी यह पसंद है।	ఏదేమైనా, నాకవి ఇంకా ఇష్టం.
शुक्रिया जो मुझे अपने साथ लाए।	నన్ను రానిచ్చినందుకు ధన్యవాదాలు.
जब तक बात नहीं बिगड़ी, सब बहुत अच्छा था।	అది సరదాగా ఉంది, అది దారుణంగా మారనంతవరకు.
हाँ। मैं क्या कह सकता हूँ?	అవును. నేను ఏం చెప్పాను? అది నా ప్రత్యేకత.
तो...	అంటే...
देखो, अगर दोबारा कभी	నీకు మళ్ళీ ఆల్మండ్ జాయ్
तो मुझे मैसेज भेज देना।	నాకో సందేశం వ్రాయి.
मैंने ठीक से नहीं कहा, माफ़ करना।	అప్రియంగా ఉంది. క్షమించు.
ह्यूई...	హ్యూయీ.
हम वह दोबारा नहीं कर सकते।	అది మనం మళ్ళీ చేయలేము.
नहीं, हम नहीं कर सकते।	లేదు, మనం చేయలేము.
पर, क्यों? मेरा मतलब...	అయినా, ఎందుకు? అంటే...
यह सब तो अच्छा है।	ఇది బాగుంది.
पर इतना ही है। मतलब,	కానీ అది అంతే. అంటే,
या सुरक्षित महसूस नहीं कर सकते,	లేదా సురక్షింతగా ఉన్నామన్న భావనకు,
पर तुम यह सब अकेले नहीं कर सकती।	నువ్విదంతా నీ స్వంతంగా చేయలేవు.
हम सब अकेले ही हैं।	మనమంతా ఒంటరి వాళ్ళం.
यही सच है।	అదే వాస్తవం.
पर ज़रूरी नहीं कि ऐसा ही हो।	కానీ అది అలా ఉండాల్సిన అవసరం లేదు.
अलविदा, ह्यूई।	వెళ్ళొస్తా, హ్యూయీ.
